"Category Filter Settings","Category Filter Settings"
"[STORE VIEW]","[STORE VIEW]"
"Display Properties","Display Properties"
"Display Mode","Display Mode"
"Show in the Block","Show in the Block"
"Add From-To Widget","Add From-To Widget"
"Sort Options By","Sort Options By"
"Show Product Quantities","Show Product Quantities"
"Show Search Box","Show Search Box"
"Number of unfolded options","Number of unfolded options"
"Other options will be shown after a customer clicks the ""More"" button.","Other options will be shown after a customer clicks the ""More"" button."
Expand,Expand
Tooltip,Tooltip
Filtering,Filtering
"Allow Multiselect","Allow Multiselect"
"Multiple Values Logic","Multiple Values Logic"
"Hide filter when only one option available","Hide filter when only one option available"
"Measure Units","Measure Units"
"Unit label","Unit label"
"Slider Step","Slider Step"
"Visible in Categories","Visible in Categories"
Categories,Categories
"Show only when any option of attributes below is selected","Show only when any option of attributes below is selected"
"Show only if the following option is selected","Show only if the following option is selected"
"Comma separated options ids","Comma separated options ids"
"Category Tree Depth","Category Tree Depth"
"Specify the max level number for category tree. Keep 1 to hide the subcategories","Specify the max level number for category tree. Keep 1 to hide the subcategories"
"Subcategories View","Subcategories View"
"Expand Subcategories","Expand Subcategories"
"Render All Categories Tree","Render All Categories Tree"
"Yes (Render Full Categories Tree) or No (Only For Current Category Path)","Yes (Render Full Categories Tree) or No (Only For Current Category Path)"
"Render Categories Level","Render Categories Level"
"You saved the item.","You saved the item."
"Something went wrong while saving the item data. Please review the error log.","Something went wrong while saving the item data. Please review the error log."
Category,Category
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
Yes,Yes
New,New
"On Sale","On Sale"
"%1 stars & up","%1 stars & up"
"%1 star & up","%1 star & up"
"%1 stars","%1 stars"
"Not Yet Rated","Not Yet Rated"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Bucket does not exist","Bucket does not exist"
Sidebar,Sidebar
Top,Top
Both,Both
Labels,Labels
Dropdown,Dropdown
Images,Images
"Images & Labels","Images & Labels"
"Text Swatches","Text Swatches"
Ranges,Ranges
Slider,Slider
"From-To Only","From-To Only"
"Store Currency","Store Currency"
"Custom label","Custom label"
"Show products with ANY value","Show products with ANY value"
"Show products with ALL values only","Show products with ALL values only"
"Root Category","Root Category"
"Current Category Level","Current Category Level"
"Current Category Children","Current Category Children"
Default,Default
No,No
Position,Position
Name,Name
Always,Always
"By Click","By Click"
Folding,Folding
Fly-out,Fly-out
Instantly,Instantly
"By Button Click","By Button Click"
"Visible Everywhere","Visible Everywhere"
"Only in Selected Categories","Only in Selected Categories"
"Hide in Selected Categories","Hide in Selected Categories"
"Improved Layered Navigation","Improved Layered Navigation"
Loading...,Loading...
"Please upload images at the Properties tab.","Please upload images at the Properties tab."
"Please add text values at the Properties tab.","Please add text values at the Properties tab."
Settings,Settings
"Use Default Value","Use Default Value"
"Select Options","Select Options"
item,item
items,items
Search,Search
More,More
Less,Less
From,From
To,To
Go,Go
"Now Shopping by","Now Shopping by"
Previous,Previous
Remove,Remove
"Remove This Item","Remove This Item"
"Apply Filters","Apply Filters"
"Please enter a valid price range.","Please enter a valid price range."
General,General
"Enable Ajax","Enable Ajax"
"Handle Filters Collapsing","Handle Filters Collapsing"
"Submit Filters","Submit Filters"
"Apply Button Position","Apply Button Position"
"Stock Filter","Stock Filter"
Enabled,Enabled
"If you want to show out of stock products, please configure it here: Stores->Configuration->Catalog->Inventory->Stock Options->Display Out of Stock Products","If you want to show out of stock products, please configure it here: Stores->Configuration->Catalog->Inventory->Stock Options->Display Out of Stock Products"
Label,Label
"Rating Filter","Rating Filter"
"Category Filter","Category Filter"
"New Filter","New Filter"
"On Sale Filter","On Sale Filter"
Tooltips,Tooltips
"Tooltip Image","Tooltip Image"
"Amasty Improved Layered Navigation","Amasty Improved Layered Navigation"
"Settings for your filters and their options","Settings for your filters and their options"
